c2;c3;NameAuto;c4;c4o;c5;c5m;c6;c6a;c7;c8;c8_o;ListVehicles;PARENT_KEY;KEY;Fexp
1;E;Motocicleta;1;;;;2;8;2023;1;;Vehículo No. 1: Motocicleta (2023);uuid:00e9e95e-aa1b-46d3-9dd4-4ac431752555;uuid:00e9e95e-aa1b-46d3-9dd4-4ac431752555/accepted/C/C.1/vehicles[1];109,66
1;E;Motocicleta;1;;;;2;8;2020;1;;Vehículo No. 1: Motocicleta (2020);uuid:83826764-8c13-42d2-af11-77f561fc7da3;uuid:83826764-8c13-42d2-af11-77f561fc7da3/accepted/C/C.1/vehicles[1];185,14
1;A;Automóvil;1;;1;11001;2;1;2020;1;;Vehículo No. 1: Automóvil (2020);uuid:735b042f-db01-479d-8353-1d7b6ce315a0;uuid:735b042f-db01-479d-8353-1d7b6ce315a0/accepted/C/C.1/vehicles[1];3,01
1;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 1: Motocicleta (2019);uuid:f79bb803-61b9-460e-b407-adb426ea1da0;uuid:f79bb803-61b9-460e-b407-adb426ea1da0/accepted/C/C.1/vehicles[1];329,48
1;A;Automóvil;1;;1;11001;2;1;1998;1;;Vehículo No. 1: Automóvil (1998);uuid:4ed0b4d0-6d99-46cb-83b1-75eb58ffebd8;uuid:4ed0b4d0-6d99-46cb-83b1-75eb58ffebd8/accepted/C/C.1/vehicles[1];249,39
1;A;Automóvil;1;;2;5001;2;1;1997;1;;Vehículo No. 1: Automóvil (1997);uuid:b881fc8c-5f6d-4df9-85da-4995589757ad;uuid:b881fc8c-5f6d-4df9-85da-4995589757ad/accepted/C/C.1/vehicles[1];158,19
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:d8dc7abc-0a2a-4f02-a157-24b1bab28c58;uuid:d8dc7abc-0a2a-4f02-a157-24b1bab28c58/accepted/C/C.1/vehicles[1];126,17
1;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 1: Motocicleta (2021);uuid:68b6a110-9222-402c-bb09-d8b901d415a7;uuid:68b6a110-9222-402c-bb09-d8b901d415a7/accepted/C/C.1/vehicles[1];1,88
1;E;Motocicleta;1;;;;2;8;2022;1;;Vehículo No. 1: Motocicleta (2022);uuid:00841803-09b5-4230-b962-d9cd6d12978d;uuid:00841803-09b5-4230-b962-d9cd6d12978d/accepted/C/C.1/vehicles[1];39,25
1;E;Motocicleta;1;;;;2;8;2011;1;;Vehículo No. 1: Motocicleta (2011);uuid:7b4df25b-ccf2-469a-83c4-62754fd22b82;uuid:7b4df25b-ccf2-469a-83c4-62754fd22b82/accepted/C/C.1/vehicles[1];151,40
1;A;Automóvil;4;;2;5001;2;1;9999;5;;Vehículo No. 1: Automóvil (9999);uuid:0745b1b2-9271-4f78-8a2a-5c37c00fc766;uuid:0745b1b2-9271-4f78-8a2a-5c37c00fc766/accepted/C/C.1/vehicles[1];126,71
1;A;Automóvil;1;;1;25286;2;1;2013;1;;Vehículo No. 1: Automóvil (2013);uuid:fd50faa2-7df1-438d-b919-9358a369b8e3;uuid:fd50faa2-7df1-438d-b919-9358a369b8e3/accepted/C/C.1/vehicles[1];351,34
1;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 1: Motocicleta (2019);uuid:979e9603-f078-4952-8320-d309797e6a0b;uuid:979e9603-f078-4952-8320-d309797e6a0b/accepted/C/C.1/vehicles[1];261,02
1;A;Automóvil;1;;1;11001;2;1;2007;1;;Vehículo No. 1: Automóvil (2007);uuid:683f88b0-967b-49d2-9916-1a8dd5f8252d;uuid:683f88b0-967b-49d2-9916-1a8dd5f8252d/accepted/C/C.1/vehicles[1];96,26
1;A;Automóvil;1;;1;11001;2;1;1997;1;;Vehículo No. 1: Automóvil (1997);uuid:4b7f0608-6a26-4264-9428-fc18f5c66729;uuid:4b7f0608-6a26-4264-9428-fc18f5c66729/accepted/C/C.1/vehicles[1];111,04
1;B;Campero/Camioneta;1;;1;11001;1;1;2008;1;;Vehículo No. 1: Campero/Camioneta (2008);uuid:742ed3fd-c20f-4d5b-bfb0-e6a22cbc3556;uuid:742ed3fd-c20f-4d5b-bfb0-e6a22cbc3556/accepted/C/C.1/vehicles[1];150,15
1;H;Taxi;1;;1;11001;1;1;2010;5;;Vehículo No. 1: Taxi (2010);uuid:7b747864-8708-4add-b178-341653c7e18d;uuid:7b747864-8708-4add-b178-341653c7e18d/accepted/C/C.1/vehicles[1];153,95
1;E;Motocicleta;1;;;;2;8;2013;1;;Vehículo No. 1: Motocicleta (2013);uuid:2a55e023-82b2-4a9a-bf69-ad1aa2b8f004;uuid:2a55e023-82b2-4a9a-bf69-ad1aa2b8f004/accepted/C/C.1/vehicles[1];153,43
1;H;Taxi;1;;1;11001;1;1;2011;1;;Vehículo No. 1: Taxi (2011);uuid:e7b3cd32-342f-4b6b-8893-92ce3f94442a;uuid:e7b3cd32-342f-4b6b-8893-92ce3f94442a/accepted/C/C.1/vehicles[1];78,02
1;A;Automóvil;1;;1;11001;2;1;2009;1;;Vehículo No. 1: Automóvil (2009);uuid:6337780c-90c7-41be-9955-70930168200a;uuid:6337780c-90c7-41be-9955-70930168200a/accepted/C/C.1/vehicles[1];62,88
1;A;Automóvil;1;;1;11001;2;1;2022;1;;Vehículo No. 1: Automóvil (2022);uuid:dbbb9af9-0c8d-47c0-bcd0-47ed3f76c931;uuid:dbbb9af9-0c8d-47c0-bcd0-47ed3f76c931/accepted/C/C.1/vehicles[1];64,15
2;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 2: Motocicleta (2021);uuid:dbbb9af9-0c8d-47c0-bcd0-47ed3f76c931;uuid:dbbb9af9-0c8d-47c0-bcd0-47ed3f76c931/accepted/C/C.1/vehicles[2];64,15
